Region;Federal District;Date;Cases;Deaths
The Republic of Sakha (Yakutia);Far Eastern Federal District;05.06.2020;72;3
Republic of North Ossetia - Alania;North Caucasus Federal District;05.06.2020;46;
Republic of Tatarstan;Volga Federal District;05.06.2020;50;
Tyva Republic;Siberian Federal District;05.06.2020;94;
The Republic of Khakassia;Siberian Federal District;05.06.2020;25;
Chuvash Republic;Volga Federal District;05.06.2020;80;
Rostov region;Southern Federal District;05.06.2020;196;
Ryazan Oblast;Central Federal District;05.06.2020;71;
Samara Region;Volga Federal District;05.06.2020;89;
St. Petersburg;Northwestern Federal District;05.06.2020;378;27
Saratov region;Volga Federal District;05.06.2020;96;
Sakhalin Oblast;Far Eastern Federal District;05.06.2020;13;
Sverdlovsk region;Ural federal district;05.06.2020;251;2
Sevastopol;Southern Federal District;05.06.2020;2;
Smolensk region;Central Federal District;05.06.2020;150;
Stavropol region;North Caucasus Federal District;05.06.2020;84;3
Tambov Region;Central Federal District;05.06.2020;65;
Tver region;Central Federal District;05.06.2020;71;2
Tomsk region;Siberian Federal District;05.06.2020;35;
Tula region;Central Federal District;05.06.2020;105;3
Tyumen region;Ural federal district;05.06.2020;36;1
Udmurtia;Volga Federal District;05.06.2020;43;
Ulyanovsk region;Volga Federal District;05.06.2020;95;
Khabarovsk region;Far Eastern Federal District;05.06.2020;65;1
Khanty-Mansi Autonomous Okrug;Ural federal district;05.06.2020;117;
Chelyabinsk region;Ural federal district;05.06.2020;108;2
Chechen Republic;North Caucasus Federal District;05.06.2020;15;
Chukotka Autonomous Okrug;Far Eastern Federal District;05.06.2020;6;
Yamal-Nenets Autonomous Okrug;Ural federal district;05.06.2020;45;
Yaroslavskaya oblast;Central Federal District;05.06.2020;71;
Altai region;Siberian Federal District;06.06.2020;63;1
Amur region;Far Eastern Federal District;06.06.2020;42;
Arhangelsk region;Northwestern Federal District;06.06.2020;125;
Astrakhan region;Southern Federal District;06.06.2020;61;2
Belgorod region;Central Federal District;06.06.2020;74;3
Bryansk region;Central Federal District;06.06.2020;95;
Vladimir region;Central Federal District;06.06.2020;60;
Volgograd region;Southern Federal District;06.06.2020;125;
Vologda Region;Northwestern Federal District;06.06.2020;21;
Voronezh region;Central Federal District;06.06.2020;106;
Jewish Autonomous Region;Far Eastern Federal District;06.06.2020;7;
Zabaykalsky Krai;Far Eastern Federal District;06.06.2020;77;1
Ivanovo region;Central Federal District;06.06.2020;130;2
Irkutsk region;Siberian Federal District;06.06.2020;71;
Kabardino-Balkarian Republic;North Caucasus Federal District;06.06.2020;73;2
Kaliningrad region;Northwestern Federal District;06.06.2020;36;
Kaluga region;Central Federal District;06.06.2020;74;1
Kamchatka Krai;Far Eastern Federal District;06.06.2020;52;
Karachay-Cherkess Republic;North Caucasus Federal District;06.06.2020;75;
Kemerovo region;Siberian Federal District;06.06.2020;19;
Kirov region;Volga Federal District;06.06.2020;79;
Kostroma region;Central Federal District;06.06.2020;26;1
Krasnodar region;Southern Federal District;06.06.2020;81;1
Krasnoyarsk region;Siberian Federal District;06.06.2020;168;
Kurgan region;Ural federal district;06.06.2020;12;
Kursk region;Central Federal District;06.06.2020;68;
Leningrad region;Northwestern Federal District;06.06.2020;51;1
Lipetsk region;Central Federal District;06.06.2020;64;
Magadan Region;Far Eastern Federal District;06.06.2020;27;
Moscow;Central Federal District;06.06.2020;1992;58
Moscow region;Central Federal District;06.06.2020;758;18
Murmansk region;Northwestern Federal District;06.06.2020;50;
Nenets Autonomous Okrug;Northwestern Federal District;06.06.2020;;
Nizhny Novgorod Region;Volga Federal District;06.06.2020;321;6
Novgorod region;Northwestern Federal District;06.06.2020;46;
Novosibirsk region;Siberian Federal District;06.06.2020;107;2
Omsk region;Siberian Federal District;06.06.2020;81;
Orenburg region;Volga Federal District;06.06.2020;63;
Oryol Region;Central Federal District;06.06.2020;111;1
Penza region;Volga Federal District;06.06.2020;86;
Perm region;Volga Federal District;06.06.2020;56;1
Primorsky Krai;Far Eastern Federal District;06.06.2020;51;
Pskov region;Northwestern Federal District;06.06.2020;32;1
Republic of Adygea;Southern Federal District;06.06.2020;33;1
Altai Republic;Siberian Federal District;06.06.2020;7;
Republic of Bashkortostan;Volga Federal District;06.06.2020;105;
Republic of Buryatia;Far Eastern Federal District;06.06.2020;52;1
Republic of Dagestan;North Caucasus Federal District;06.06.2020;156;10
Republic of Ingushetia;North Caucasus Federal District;06.06.2020;39;
Republic of Kalmykia;Southern Federal District;06.06.2020;13;
Republic of Karelia;Northwestern Federal District;06.06.2020;25;
Komi Republic;Northwestern Federal District;06.06.2020;38;1
Republic of Crimea;Southern Federal District;06.06.2020;8;
Mari El Republic;Volga Federal District;06.06.2020;44;1
The Republic of Mordovia;Volga Federal District;06.06.2020;40;3
The Republic of Sakha (Yakutia);Far Eastern Federal District;06.06.2020;73;1
Republic of North Ossetia - Alania;North Caucasus Federal District;06.06.2020;44;
Republic of Tatarstan;Volga Federal District;06.06.2020;52;
Tyva Republic;Siberian Federal District;06.06.2020;98;
The Republic of Khakassia;Siberian Federal District;06.06.2020;9;
Chuvash Republic;Volga Federal District;06.06.2020;84;1
Rostov region;Southern Federal District;06.06.2020;212;3
Ryazan Oblast;Central Federal District;06.06.2020;68;
Samara Region;Volga Federal District;06.06.2020;104;2
St. Petersburg;Northwestern Federal District;06.06.2020;347;55
Saratov region;Volga Federal District;06.06.2020;98;1
Sakhalin Oblast;Far Eastern Federal District;06.06.2020;10;
Sverdlovsk region;Ural federal district;06.06.2020;249;2
Sevastopol;Southern Federal District;06.06.2020;1;
Smolensk region;Central Federal District;06.06.2020;95;
Stavropol region;North Caucasus Federal District;06.06.2020;87;1
Tambov Region;Central Federal District;06.06.2020;64;
Tver region;Central Federal District;06.06.2020;87;2
Tomsk region;Siberian Federal District;06.06.2020;36;
Tula region;Central Federal District;06.06.2020;107;2
Tyumen region;Ural federal district;06.06.2020;39;1
Udmurtia;Volga Federal District;06.06.2020;39;
Ulyanovsk region;Volga Federal District;06.06.2020;109;1
Khabarovsk region;Far Eastern Federal District;06.06.2020;70;1
Khanty-Mansi Autonomous Okrug;Ural federal district;06.06.2020;127;2
Chelyabinsk region;Ural federal district;06.06.2020;128;3
Chechen Republic;North Caucasus Federal District;06.06.2020;20;
Chukotka Autonomous Okrug;Far Eastern Federal District;06.06.2020;5;
Yamal-Nenets Autonomous Okrug;Ural federal district;06.06.2020;42;
Yaroslavskaya oblast;Central Federal District;06.06.2020;75;
Altai region;Siberian Federal District;07.06.2020;64;
Amur region;Far Eastern Federal District;07.06.2020;45;
Arhangelsk region;Northwestern Federal District;07.06.2020;122;
Astrakhan region;Southern Federal District;07.06.2020;60;
Belgorod region;Central Federal District;07.06.2020;71;2
Bryansk region;Central Federal District;07.06.2020;95;
Vladimir region;Central Federal District;07.06.2020;63;
Volgograd region;Southern Federal District;07.06.2020;119;2
Vologda Region;Northwestern Federal District;07.06.2020;28;
Voronezh region;Central Federal District;07.06.2020;139;
Jewish Autonomous Region;Far Eastern Federal District;07.06.2020;7;
Zabaykalsky Krai;Far Eastern Federal District;07.06.2020;73;
Ivanovo region;Central Federal District;07.06.2020;128;
Irkutsk region;Siberian Federal District;07.06.2020;179;
Kabardino-Balkarian Republic;North Caucasus Federal District;07.06.2020;76;2
Kaliningrad region;Northwestern Federal District;07.06.2020;40;
Kaluga region;Central Federal District;07.06.2020;80;1
Kamchatka Krai;Far Eastern Federal District;07.06.2020;40;
Karachay-Cherkess Republic;North Caucasus Federal District;07.06.2020;75;1
Kemerovo region;Siberian Federal District;07.06.2020;36;
Kirov region;Volga Federal District;07.06.2020;61;2
Kostroma region;Central Federal District;07.06.2020;13;
Krasnodar region;Southern Federal District;07.06.2020;87;1
Krasnoyarsk region;Siberian Federal District;07.06.2020;165;
Kurgan region;Ural federal district;07.06.2020;8;
Kursk region;Central Federal District;07.06.2020;76;1
Leningrad region;Northwestern Federal District;07.06.2020;51;
Lipetsk region;Central Federal District;07.06.2020;61;
Magadan Region;Far Eastern Federal District;07.06.2020;14;
Moscow;Central Federal District;07.06.2020;1956;55
Moscow region;Central Federal District;07.06.2020;754;10
Murmansk region;Northwestern Federal District;07.06.2020;58;
Nenets Autonomous Okrug;Northwestern Federal District;07.06.2020;;
Nizhny Novgorod Region;Volga Federal District;07.06.2020;317;5
Novgorod region;Northwestern Federal District;07.06.2020;42;
Novosibirsk region;Siberian Federal District;07.06.2020;105;1
Omsk region;Siberian Federal District;07.06.2020;42;
Orenburg region;Volga Federal District;07.06.2020;64;
Oryol Region;Central Federal District;07.06.2020;110;
Penza region;Volga Federal District;07.06.2020;98;
Perm region;Volga Federal District;07.06.2020;68;
Primorsky Krai;Far Eastern Federal District;07.06.2020;62;1
Pskov region;Northwestern Federal District;07.06.2020;69;
Republic of Adygea;Southern Federal District;07.06.2020;30;
Altai Republic;Siberian Federal District;07.06.2020;9;
Republic of Bashkortostan;Volga Federal District;07.06.2020;96;
Republic of Buryatia;Far Eastern Federal District;07.06.2020;52;
Republic of Dagestan;North Caucasus Federal District;07.06.2020;115;5
Republic of Ingushetia;North Caucasus Federal District;07.06.2020;35;
Republic of Kalmykia;Southern Federal District;07.06.2020;19;
Republic of Karelia;Northwestern Federal District;07.06.2020;41;
Komi Republic;Northwestern Federal District;07.06.2020;46;
Republic of Crimea;Southern Federal District;07.06.2020;11;
Mari El Republic;Volga Federal District;07.06.2020;42;
The Republic of Mordovia;Volga Federal District;07.06.2020;47;
The Republic of Sakha (Yakutia);Far Eastern Federal District;07.06.2020;78;
Republic of North Ossetia - Alania;North Caucasus Federal District;07.06.2020;42;
Republic of Tatarstan;Volga Federal District;07.06.2020;54;
Tyva Republic;Siberian Federal District;07.06.2020;118;
The Republic of Khakassia;Siberian Federal District;07.06.2020;17;
Chuvash Republic;Volga Federal District;07.06.2020;80;
Rostov region;Southern Federal District;07.06.2020;201;1
Ryazan Oblast;Central Federal District;07.06.2020;73;
Samara Region;Volga Federal District;07.06.2020;88;2
St. Petersburg;Northwestern Federal District;07.06.2020;340;31
Saratov region;Volga Federal District;07.06.2020;112;
Sakhalin Oblast;Far Eastern Federal District;07.06.2020;18;
Sverdlovsk region;Ural federal district;07.06.2020;240;2
Sevastopol;Southern Federal District;07.06.2020;2;
Smolensk region;Central Federal District;07.06.2020;112;1
Stavropol region;North Caucasus Federal District;07.06.2020;89;3
Tambov Region;Central Federal District;07.06.2020;68;
Tver region;Central Federal District;07.06.2020;93;
Tomsk region;Siberian Federal District;07.06.2020;54;
Tula region;Central Federal District;07.06.2020;115;
Tyumen region;Ural federal district;07.06.2020;35;1
Udmurtia;Volga Federal District;07.06.2020;32;
Ulyanovsk region;Volga Federal District;07.06.2020;94;1
Khabarovsk region;Far Eastern Federal District;07.06.2020;69;1
Khanty-Mansi Autonomous Okrug;Ural federal district;07.06.2020;115;
Chelyabinsk region;Ural federal district;07.06.2020;115;2
Chechen Republic;North Caucasus Federal District;07.06.2020;19;
Chukotka Autonomous Okrug;Far Eastern Federal District;07.06.2020;4;
Yamal-Nenets Autonomous Okrug;Ural federal district;07.06.2020;73;
Yaroslavskaya oblast;Central Federal District;07.06.2020;70;
Altai region;Siberian Federal District;08.06.2020;71;
Amur region;Far Eastern Federal District;08.06.2020;46;
Arhangelsk region;Northwestern Federal District;08.06.2020;121;1
Astrakhan region;Southern Federal District;08.06.2020;44;
Belgorod region;Central Federal District;08.06.2020;73;
Bryansk region;Central Federal District;08.06.2020;94;
Vladimir region;Central Federal District;08.06.2020;62;
Volgograd region;Southern Federal District;08.06.2020;117;
Vologda Region;Northwestern Federal District;08.06.2020;27;
Voronezh region;Central Federal District;08.06.2020;228;
Jewish Autonomous Region;Far Eastern Federal District;08.06.2020;4;
Zabaykalsky Krai;Far Eastern Federal District;08.06.2020;80;2
Ivanovo region;Central Federal District;08.06.2020;117;
Irkutsk region;Siberian Federal District;08.06.2020;85;
Kabardino-Balkarian Republic;North Caucasus Federal District;08.06.2020;76;2
Kaliningrad region;Northwestern Federal District;08.06.2020;37;
Kaluga region;Central Federal District;08.06.2020;89;
Kamchatka Krai;Far Eastern Federal District;08.06.2020;43;
Karachay-Cherkess Republic;North Caucasus Federal District;08.06.2020;74;1
Kemerovo region;Siberian Federal District;08.06.2020;31;
Kirov region;Volga Federal District;08.06.2020;78;
Kostroma region;Central Federal District;08.06.2020;25;
Krasnodar region;Southern Federal District;08.06.2020;86;1
Krasnoyarsk region;Siberian Federal District;08.06.2020;159;
Kurgan region;Ural federal district;08.06.2020;18;
Kursk region;Central Federal District;08.06.2020;60;
Leningrad region;Northwestern Federal District;08.06.2020;50;
Lipetsk region;Central Federal District;08.06.2020;60;
Magadan Region;Far Eastern Federal District;08.06.2020;12;
Moscow;Central Federal District;08.06.2020;2001;51
Moscow region;Central Federal District;08.06.2020;751;11
Murmansk region;Northwestern Federal District;08.06.2020;46;
Nenets Autonomous Okrug;Northwestern Federal District;08.06.2020;;
Nizhny Novgorod Region;Volga Federal District;08.06.2020;305;4
Novgorod region;Northwestern Federal District;08.06.2020;58;1
Novosibirsk region;Siberian Federal District;08.06.2020;102;1
Omsk region;Siberian Federal District;08.06.2020;58;
Orenburg region;Volga Federal District;08.06.2020;66;
Oryol Region;Central Federal District;08.06.2020;97;
Penza region;Volga Federal District;08.06.2020;110;
Perm region;Volga Federal District;08.06.2020;67;
Primorsky Krai;Far Eastern Federal District;08.06.2020;67;
Pskov region;Northwestern Federal District;08.06.2020;37;
Republic of Adygea;Southern Federal District;08.06.2020;44;
Altai Republic;Siberian Federal District;08.06.2020;8;
